Score,review_text
5,"People are always surprised how really good this tea is -- non-caffeine & happens to be healthy to boot. This review is for <a href=""http://www.amazon.com/gp/product/B0041R1UM0"">Wissotzky Red Tea with Chamomile, Lime & Honey, 1.41-Ounce Boxes (Pack of 6)</a> There are other flavors I like very much that I refer to at the bottom of this review. These are all non-caffeine, high antioxidant herbal teas that are always startling delicious to anyone I have served them too.<br /><br />Wissotzky makes a whole range of teas, including those with black tea and those with green tea. The ones I discuss here are my personal favorites.<br /><br />Wissotzky Teas are rather renowned though, personally, I hadn't heard of them until I was teaching at my University's summer law program at University of Haifa in Israel. You pick them up at any supermarket there -- but you have to special order them over here in the US.<br /><br />Having to live in dormitory-style living while teaching over there, the tea was convenient but I was most startled by how really delicious it was. I am not a big tea drinker -- occasionally herbal tea in the winter -- but I was drinking this tea every day during the very hot Israeli summer.<br /><br />I brought quite a bit back with me and ordered more here. I often offered it to colleagues during meetings in my office and they were invariably struck by how unexpectedly delicious it is.<br /><br />So now I give boxes as gifts. And the recipients often hint they wouldn't mind another gift they so love it.<br /><br />Serving the tea at one of my group work meetings has become a hallmark tradition and puts a positive tone as we launch into a 3 hour work session.<br /><br />For more information:<br />These herbal teas are made from the Rooibus (Red Bush) plant from South Africa.<br /><br />The only authentic Rooibus tea is from South Africa -- though many companies claim theirs is Rooibus though not from South Africa.<br /><br />It is not unlike that genuine Champagne can only come from the Champagne region of France but firms market sparkling wines from other regions prepared by the ""Methode Champenoise."" In that case, there are excellent Methode Champenoise sparkling wines that rival genuine Champagne (though being a champagne lover -- I still find a taste unique to genuine Champagne.)<br /><br />However my experience is that non-South African Rooibus Tea is not as good nor does it have the medicinal and homeopathic qualities that genuine Rooibus tea does.<br /><br />As to the variations: Wissotzky sells the pure Rooibus Tea (which does not seem to be here on Amazon) and 3 flavored versions: 1. with Chamomile, Lime & Honey,[[B0041R1UM0 Wissotzky Red Tea with Chamomile, Lime & Honey, 1.41-Ounce Boxes (Pack of 6)]] (my and most people's favorite)  2. with Cinnamon & Vanilla <a href=""http://www.amazon.com/gp/product/B0041R00WG"">Wissotzky Red Tea with Cinnamon and Vanilla, 1.41-Ounce Boxes (Pack of 6)</a>(my second most favorite and many people's first choice) and 3. with Rosehip & Passion Fruit <a href=""http://www.amazon.com/gp/product/B0041R1DYA"">Wissotzky Red Tea with Rosehip and Passion fruit, 1.41-Ounce Boxes (Pack of 6)</a> (which I also really like and again is some people's favorites.)<br /><br />As mentioned at the start of this review -- Wissotzky makes a whole range of teas, both with and without flavors, herbal, black tea and green tea (which has its own homeopathic benefits.) I've tried many of the other herbal and enjoy them; I personally stay away from caffeine as my system doesn't handle it well."
5,"A Tasty Snack I have a gluten allergy, so I am always looking for an alternative to cookies, muffins, granola bars, and other sweet snacks that I can no longer eat.  The Kind Bars are great - I have not found any that I absolutely don't like, but some I like better than others.  The Fruit and Nuts in Yogurt is definitely my favorite - I like the combination of nuts, raisins, and yogurt - it does not seem as overpoweringly sweet as some of the others. I originally discovered Kind Bars at Starbucks, but they were VERY expensive to buy on a regular basis. That was when I checked out Amazon's Subscribe and Save program, signed up for the Kind Bars, and cut my purchase cost by more than half - with no shipping cost!  What a cool program - especially for those of us with allergies who need regular access to products that are usually expensive and/or hard to find!"
5,"Healthy & Easy to Cook Wheat Lasagna Shells I highly recommend these whole wheat lasagna shells. (At the risk of selling out). They are super easy to use. No need to pre cook them. They are ready to go straight out of the box. Wholesome and healthy, these taste great as well. I bought the Rozoni Wheat Lasagna pasta, but they are much smaller in width. They took months for Amazon to send them to me as well. I have not tasted those yet, so we will see how they compare in flavor. But these ones are absolutely great. I will be buying more shortly. The Ronzini ones also have to be precooked before hand. Only for five minutes, but still Lasagna takes an hour or so to make as is. Who needs the extra headache? Try these! Great for families. You can cook a bunch and have a meal for a week."
5,"Dogs Love All 3 of my dogs-pom, yorkie, rat terrier, love these. I just received my 2nd order. Wish these were on sub. and save."
2,"Disappointing I am jumping on the bandwagon with all of those reviewers who said this coffee is weak. I am disappointed that the Marley name is on this. I used two of these pods to make two cups of coffee. Yuck! Not only did it taste terrible, but it was incredibly weak. From my standpoint, you would need to use a minimum of two of these per cup of coffee. And that would probably have to be demitasse size to have it taste worthwhile. There also was none of that wonderful coffee aroma that you get with a good coffee.<br /><br />To make matters worse, there are no instructions on the box to tell you how much to use. I wasn't sure if it was my drip coffeemaker or not, but my guess is that the water would have to soak like a teabag. This is a case where you have to sacrifice convenience and go with regular coffee grounds. Not recommended."
3,"pretty good but not the greatest My father drinks a lot of Crystal Light so I decided to get this so I could share it with him. We both thought it was okay but not the greatest. It comes in 5 packs that each makes a big jug of the mix. The color is right for the drink however the taste wasn't like a real margarita. It seemed a bit sweet and watered down to me. You can also taste the articifical sweetner in it.<br /><br />It's a good drink for a non-alcoholic party or get together. Or one of those summer daytime drinks. Otherwise, I'd stick to the real stuff."
5,"Peanut butter with only a quarter of the calories! This stuff is like peanut butter-flavored crack.  You can control how thick or thin you make it, so it's just as perfect to pack in sandwiches without ending up with a gooey mess by noon as it is to drizzle over ice cream.  I usually mix the cocoa flavor with a little chocolate soymilk and eat it right out of the bowl for an indulgent-tasting afternoon snack."
4,"Most versatile crispbread i've tried These have a very small amount of fat - 1% per cracker which must be due to the sesame seeds.<br />It's worth the trade-off because they are actually quite tasty.  The subtle sesame flavor enhances anything you put<br />on them. While low in salt, they taste pretty good right out of the box.<br /><br />Ryvita must be performing some kind of sorcery since they contain no yeast but have an airy crunch, which makes<br />them safer for sensitive teeth.<br /><br />I just ordered a 10 pack in mid July and the expiration date for the batch is December 05.<br /><br />They are very good and I've added them to my subscribe and save list."
4,"Very tasty...but pricey! I discovered these because my daughter's dentist gives them out to his patients (children's dentist). I didn't know anything about Xylitol and was a bit skeptical about it.  So I researched it and learned that it's just a natural sweetner, that's actually good for teeth!  A mother's dream come true!  And they taste really good! I gave it 4 stars, however, because with the outrageous shipping, they are pricey for the amount you get.  The bag these came in is about the size of a medium ziploc bag."
5,"It tastes great!!! I just used this product for the first time, I think it tastes great....like liquid candy!! It's the best tasting sports drink I've ever had. Mine is Cool Citrus. I believe it did help with my workout today, I kept my motivation up and I didn't feel as ""whipped"" afterward. Good stuff. Very cool ingredients too, a lot of research went into this product. BTW, there are 81 servings in there."
1,"I did not like this product I am used to the teas from twinings or other brands from Safeway or other english brands. This tea lacks of good flavor.  One sachet barely makes one cup of tea, whereas twinings and other brands  make 2 cups with full flavor.  I know flavor is a subjective matter, however if you like the flavors of brands like twinings do not buy this brand."
5,"Love this product!! I heard of these through my weight watchers magazine. They a had a $5 coupon code so I figured ""what the heck!"". WOW -- pop chips are amazing - every flavor is AWESOME! I particularly liked the salt & pepper. If you want crunch and flavor - these are for you!!"
5,"One great cup of coffee I've purchased many different K-Cups over the last year or so that I've owned my Keuirg.  I was always looking for that smooth great cup of coffee.  Not too weak, not bitter, not smokey.  Tullys House Blend is smooth and rich.  It's my ""go to"" coffee in the morning.  Ahhhhhh<br /><br />Amazon makes it a great deal purchasing through them.  I make sure I never run out.<br /><br />Love it!"
5,"Great Cookies ! Great Cookies, I really like that they are not only great tasting but chewy and not the usual dry stuff that passes for sugar free with many other brands."
1,"Tasteless Very little taste (weak) and no caffiene that I can tell. I even emailed Tao of Tea about brewing suggestions, and got no reply."
3,too heavy to rise we bought several types of the flour this company has to offer.<br />it will not rise in the bread machine at all.<br />if I mix it with white flour at least half and half it gets a better rise<br />If I make the yeast rise first then mix in the flour mixed with white flour its better yet.<br />not a great flour for bread making. it is a very tasty flour and I make flat breads with it.<br />I will use this flour to mix with white flour bread recipes
5,"Great My dogs just love the food and they look great! Their coats are shiny, no more scratching or itching. I also love the free shipping and price! Don't be afraid to give this a try, your dogs will thank you!!"
5,"GREAT ITEM I have been eating these for over 20 years.  I am a vegetarian,<br />so these are perfect for me to eat.  They are actually a ""vegan""<br />product, so people that a total vegetarians can eat these."
5,"Full body and great afternotes Full body, great flavor and a great cup of coffee. The only coffee my wife will drink. We have tried other Raven's Brew blends but really like Skookum."
5,yay for gummy bears 5 pounds of haribo's best.  love them!  they werent melted when they arrived and i burst out laughing when i realized how much 5 pounds of gummy bears really is.  i recommend once you open the package to break it up into several different zip-loc baggies to keep them fresh.
5,"PB2 rocks A friend who is training for a marathon turned me onto PB2.  Since I couldn't find it in my local stores, I searched and found it through Amazon.  I have ordered both varities, regular and this chocolate peanut butter, twice.  I love both of them, but the chocolate peanut butter is probably my favorite because I feel like I'm having a resees cup.  The product is all natural, no added preservatives.  Just the oil has been extracted leaving the peanut butter in a powder form. I add 1 TBSP to my morning shake, and it's awesome.  I have also hydrated it with a little water, and it's just delicious.  200 calories for 2 TBSP of regular p-butter or 45 calories for 2 TBSP of PB2.  You know what I'm picking.  Try it you'll love it."
5,"Great Flavor I bought this mustard to go with some hard salami, Havarti cheese, and vegetable flavored wheat thins.  We were blown away at how great this tasted.  This stone ground mustard is delicious.  No strong horseradish spice, hint of white wine, and almost a sweet relish texture and aftertaste.  I bought this at the store on a whim and I now discovered my new favorite mustard.  Get some, try it, you'll love it.  Would go great on anything really."
5,"Some really great and some really really bad Diet Cranberry Raspberry - The BEST flavor I've tried yet. It's just sweet enough, great flavor, and calorie free. I always have at least three bottles of this in my cabinet at all times.<br /><br />Orange - Very sweet but good. I'm not a fan of orange soda so that's probably the only reason I don't love this.<br /><br />Lemon-Lime - Again, very sweet. It has a good sprite-type flavor though so I went ahead and tried the diet version as well to see if that would be a staple in our house.<br /><br />Diet Lemon-Lime - It's not an all time favorite but it's good. I have a bottle of this usually for whenever I'm craving something different or something a bit more refreshing and I'm tired of plain water.<br /><br />Cream Soda - WAY too strong. I love cream soda and so I didn't expect any issues with it but just the smell when opening the bottle was enough to make me slightly sick to my stomach. And I'm not exaggerating. I actually threw out the entire bottle after one sip. It has an almost alcoholish undertone to it that doesn't help at all. Gross.<br /><br />Root Beer - Not even close to as bad as the cream soda but slightly reminiscent. I did drink the entire sample that came with the Sodastream but do not plan to buy a bottle of it even though I am a huge fan of root beer.<br /><br />Cola - I bought this to act as an emergency back up for when my husband wanted a rum and coke and didn't have any coke in the house. It tastes a bit like off-brand diet cola to me, probably because of the Splenda. This is very off-putting only because there is so many calories in this and you don't even get a calorie-laden taste. Hahaha. This will continue to be held for those emergencies but we won't be drinking it by itself at all.<br /><br />Grape - This one actually surprised me because I was so prepared not to like it. It's a bit on the sweet side but still much better than many others. I've been putting about 1/4th the amount of syrup in less than called for and it helps cut the sweetness a bit but after that it starts to make the flavor taste watered down. I wish I could find a diet version of this. Not sure if it exists or not but I can't find it on Amazon if it does.<br /><br />I'll update this as I try more. I am cautiously optimistic about the diet ginger ale so that will be my next purchase."
2,"very clean!  sweet nutty taste just to be SURE these were REALLY REALLY CLEAN, i washed a couple of hundred grams very carefully for about ten minutes and then let them dry, and compared them to the same seeds out of the same package without my personal treatment.  they are exactly the same color and consistency, so i would judge that the frontier seeds straight out of the bag do not have any RESIDUE on the exterior of the seed.  lovely, nice, sweet, nutty taste, chock full of serious nutrition (good-for-ya oils and such, pretty sure these are an omega source among other things).  not great for drinks but with baking, i'd go for it.  i snacked on a few after i washed them, as well as drinking the water to be sure it was clean and flavorless, as i expected.  wonderful crunchy stuff.<br /><br />since i'm a little obsessive about getting for the best and freshest quality i can get, i did buy some special somiverum seeds strictly to start my own garden.  I understand they grow quickly so hopefully in another season i'll have my own seed pods and be making the best lemon poppy seed muffins in town.  Time will tell!  yum!!!!!"
5,Big platter This is one of the biggest meat and cheese products that has Quality as well.I got this for my father and he was impressed as well.
5,"GREAT Peanut Brittle The real stuff, GREAT! Unlike what has horribly happened to See's version that I used to love (artificial flavor now and tastes nasty)."
5,"Great Brand! My three cats love this brand of food. The chicken is only the second ""flavor"" I've bought them. Before, I got tuna and they loved it! They seem to love this just as much. This cat food lasts my cats much longer than more popular brands, despite the fact that they have ""free food"" and are constantly eating it. It took them two weeks to finish a 6lb bag, so I'm expecting this 11lb bag to last them nearly a month. When that's taken into account, along with the sheer fact that it's so healthy for them, it makes the price of it very worth it. I'm going to try to continue to buy this for my cats."
5,"EXCELLENT PRODUCT I bought this item for my elderly  Mom, to use with the new Keurig Coffee machine I purchased for her. SHE LOVES IT!!!!!!......I WILL BE ORDERING MORE!!!!!!!!"
5,"This is How Chocolate Bars SHOULD be A luscious layer of ""caramel"" sandwiched between two velvety smooth layers of fine raw cacao.  As soon as you bite into this bar you'll be captivated by the contrasting textures and flavors that compliment each other to perfection.  Comes complete with nutrients and a long lasting energetic mood lift.  The wondrous world of raw vegan food just got a little better."
2,My son didn't like it My son is six and he liked it at first but after a few more drinks he said it's kind of nasty. I tried it and didn't like it either. It tastes like baby food.
4,"Great Price, Not what I was hoping for though. There's the original Tang. There's the fruition Tang that was around from 2008 to 2010, which had extra vitamins (B,D,A, etc.) and replaced half the sugar with zero calorie sweeteners. But tang has gone back to a flavor more similar to the original with full sugar content. I was hoping for the fruition version, which other reviewers received."
5,"White Tea This tea is very good. It has a light flavor to it. I find myself drinking it all day and I feel healthier, not as tired as I usually am."
5,BEST TEA - TRY IT WITH LEMON - EXCELENT TEA AND COSTUMER SEVICE- FASY DELIVERY ALSO BEST TEA - TRY IT WITH LEMON - EXCELENT TEA AND COSTUMER SEVICE- FASY DELIVERY ALSO
4,"Just like I remember as a kid, but more affordable on Amazon! With the subscribe and save option I can get these Cocktail Pep Sticks delievered to my home every 3 months. An 8 pack lasts me a while as I try not to eat them daily, even tho they are so good its hard to restrain myself! These are much cheaper on Amazon than in my local store, so I often look to Amazon for beef jerky type purchases."
3,"Middle of the road I've been using water enhancers for a couple of years and I started with the powdered varieties that had to be stirred up to dissolve.  I then began using Mio when it came out.<br /><br />""Vitamin Squeeze"" takes the enhancer game a step higher, by adding vitamin C, caffeine, and taurine.  It touts itself as an ""energy drink"", but I honestly didn't feel any bump in energy when I used it.  It has about half the caffeine of a cup of coffee.  The fruit punch flavor is tolerable, but has a ""chemical"" after taste - it's difficult to get artificial fruit flavors right and this could use some work.  The artificial colors and flavors remove it from the ""healthy"" category.  ""Vitamin Squeeze"" also requires refrigeration after it's been opened which is a little inconvenient for me at work, but not necessarily a deal breaker.  The flavor isn't overly intense; one squeeze gives a hint of fruit punch flavor but if you like a stronger flavored beverage, a lot more than one squeeze will be needed.<br /><br />All in all, it's a passable water enhancer, but I wouldn't want to rely on it as a vitamin source or even as an energy drink."
5,My son loves this! My 8 month old loves this. So happy to see the teachers at day care reports that he eats most of this whenever I pack this for him
5,"Best Popcorn Ever This was the sweetest, smallest, hulless, best tasting white popcorn I have ever had.  Just placed an additional order for a 6 lb. bag as well as other varities carried by this company."
5,Zico I am training for a marathon and was having trouble with cramping. In the past i had only used gatoraid and that was not stopping the cramps.I had tried Zico in other flavors but chocolate is the only one I can tolerate. I actually love the chocolate. Since using it after runs over 90mins. I no longer get cramps. It is best cold. I also mix it into my smoothie as a recovery drink. I order it by the case now since my grocery store does not always have it and I don't want to run out.
5,"perfect for everything These tomatoes are perfect for everything. I use them for pasta salads, soup base, pasta sauces, and the list goes on and on. You can put them on top of toasted bread for a unique bruschetta if you want. I have tossed them in scrambled eggs and thrown cheese on top for a quick and yummy omelet. Highly recommend these tomatoes. They are fire roasted and seasoned perfectly. Use subscribe and save for the best deal."
1,"Non-existent Cashews but lots of Dates The bar has almost no cashew but lots of dates. The bar should be labeled ""Almond Date Bar."" The label is misguided."
5,"Arizona Green Tea @ It's Best... Best Product I have found in a long time. This Canister holds Six tubs that makes 2 Quarts of the Best Green Tea Ever!  I was so happy to find it in the convenient Tubs for travel or at home.  Finding it in the Stores was terrible, so when I found it on ""Amazon"" at such a great deal I could not pass it up! The Canister is sealed and each tub is sealed by them self...so they do stay fresh.<br />They make them in different flavors & have Sugar-Free which I could not find in any store.  Even if you are not a Arizona Tea drinker you will be very surprised how good this product taste...Once you get these you will be on the Auto order before you know it."
5,"So Hard To Find I love this chicken base! It works so well with my soups, gravies and anything elso I need to make a broth for.  Taste is excellent.  Spent about 20 hours searching the web to find it! Finally found it at Amazon !"
3,"Tastes like hot water When I drink this, it tastes like flavored hot water. I think the powdered stuff you add water to that you get in the grocery store tastes way better. Won't be ordering this again."
3,"Just ""Average"" Well, I purchased these thinking they'd be larger. It's a great price for 500 bags, but they're really pretty small. They can't hold more than about 25 jumbo popcorn pieces at a time. They're a little easy to rip and they just don't sit quite right, the bottom doesn't expand to make the bag a full rectangled shape as you'd expect. Weird, but affordable."
2,Hmmmm tiny but cute.. lol Got what looked like a nice size bonsai and well.. If its four years old.. then its the smallest bonsai I have ever seen ..It must have only grown.. a quarter inch a year..Its like a little twig in a pot ..but suppose its ok..We will see.. Anyway got it in the mail..usps .. and its here..Its nice if you like little itty bitty plants.. but I suppose I was expecting something bigger.
4,"So much better than the nibs. This is much easier to consume than the nibs. It also leaves out that bitter taste. I use a table spoon and blend it with milk, bananas and strawberries. Tastes great and makes a quick and healthy breakfast."
5,"need it! I bring these to work. My job is in retail, and we all have our water bottles. No one has these! So everyone knows that little bottle is mine. Not to mention that the water quality is lovely, and the cost per bottle is much less that buying bottles of water, one by one. Get a case delivered to you door, and that's it!"
5,"Just like the original I finally conceded that my children prefer Kraft amac and cheese to any kind of home made. I usually pick the whole grain variety, but this is just as good and with a different added nutritional hit."
2,flavor let down Although the flavor is good it doesn't last very long.  After the flavor leaves the gum is unpleasant to chew.
5,K-cup asssortment We had just received a Keurig and thought this assortment would be a good way for us to taste several different coffees and then decide which ones we liked best. It's a nice assortment - a little pricey but an excellent opportunity to sample.
5,I love this cereal! It's been my favorite cereal since I was a kid.  It's so hard to find these days in stores.  I always look and am always disappointed.  So glad to find it here and at such an good price!  Also glad I can subscribe and save and not go to the supermarket to get cereal =)
4,"helped with my dry scalp skin I will be another who admits that I didn't realize that this inexpensive oil was intended for non Caucasian folks and that it mostly contained mineral oil and in both cases, Im glad that I didn't because this is a good product for me.  I have dry skin and my scalp is no exception.  I put a little of this oil both on my scalp and on the ends of my hair, wait 20 minutes, then wash it thoroughly.  After drying my hair, I put s tiny amount in my palms and rub it on my ends.  My scalp has stopped flaking and it seems to hold down frizzies very well too.  I will continue to use it and am glad i found it."
5,"A big help We found out that my daughter had a suspected cow's milk allergy shortly after her 1st birthday. I had never used formula and tried to supplement my diminishing milk supply with cow's milk since she was now 1 and found out she was allergic with a 2AM ER trip. The pediatrician prescribed Neocate jr, but that was such a pain since it isn't sold in stores. I bought one of these when the Neocate jr hadn't arrived on time and she loved it and began sleeping better right away, so I then bought it by the case. I think her allergy was much less severe than we had suspected. She is now 2 and does great with Lactose free cow's milk."
4,"coffee Tastes fine.  It is the cheapest way I can find to ""feed"" my Senseo coffee maker.  At $0.44/mug it is not that ""cheap"" but it is good.  They are cheaper in Europe."
5,"Awesomely delicious! Love Cliff bars, but have only liked the Peanut Butter and Chocolate Chip Peanut Crunch flavors (maybe an occasional Blueberry).  The others are too sweet for my taste.  These are my new favorite.  Great taste combination.  Go Cliff Bars!"
5,Yuban Dark Roast Great Coffee at a great price.I normally ground it finer and use a percolator which makes it taste better than the regular coffee machines.<br />Too bad amazon stopped selling this item
5,"Worked great in regular recipes We used these crumbs to make pie crusts for Thanksgiving.  The results were excellent!  Taste and texture were just like regular graham cracker crumbs.  We were able to make 2 no-bake crusts from one box, making them cost-effective as well."
5,Fleshtone I have not used this Gel Paste yet but I can't wait to try it out. . . . .
5,"fantastic! I have been looking for gluten free plain crackers for ages. Being pregnant, all I wanted in my first trimester was some plain crackers, but I thought I had no options being Celiac; there's some nice rice crackers out there, but they all are flavored with onion, garlic, BBQ, etc- not things you want during pregnancy! I found these recently in a local (high end) grocery store and was so happy to see ""plain"". I tried them and I had to laugh at myself for getting so excited over plain crackers. They are super good, with by themselves, or with butter, cream cheese, etc. They are great for soup as they are full of flavor and have a crispy taste. They are also not high in salt like most other crackers. Great buy too, I highly recommend if you, like me, just want some nice crackers without the salty ""flavor"" added to them."
1,"Goji berries I am so disappointed, these berries have a very bad aftertaste. I got a little nauseous after eating about an ounce...kinda makes me worry...Im going to try them for a few more days if i get nauseous one more time im going to attempt to return...One very odd thing...i didnt get any paperwork w/ this order, so returning may be a huge hassle..."
4,"Hot, but not TOO hot! The chili pepper spices up this olive nicely. On a ""hot scale"" of 1 to 10 this pepper stuffed olive is probably a 6 in hotness. Good product."
5,"AWESOME VEGAN gluten free Organic SNACK BAR! My 11 yr old's prefered snack . He loves these better than candy bars. Great mildly spiced bar sweet but not too sweet. Really satisfies a hunger craving. Great for the whole family.<br /><br />Zesty Ginger, cardamom, and cinnamon enhance the natural flavors of sesame seeds, almonds, vanilla, and flax seeds. Mildly spicy and thoroughly satisfying.<br /><br />ALLERGIES:<br />GLUTEN FREE BUT NOT NUT FREE -Contains The following allergens: almonds, soy. May contain traces of dairy, peanuts, and other nuts.<br /><br />Ingredients<br /><br />(All ingredients are gluten-free)<br />Organic sesame seeds, Organic brown rice syrup, Organic evaporated cane juice, Organic almonds, Organic flax seeds, Organic soy crisp, Organic crisp brown rice, Organic extract of vanilla, Organic cinnamon, Organic cardamom, Sea salt, Organic tumeric, Natural Vitamin E for freshness, Processing agents: Organic safflower and/or sunflower oil<br />Nutritional Analysis<br /><br />Serving size: 1 package (45 grams)<br />Servings: 1<br />Amount per serving DV*  Amount per serving DV*<br /><br />--------------------------------------------------------------------------------<br /><br />Calories: 230  Vitamin A: 0%  Niacin:  4%<br />Calories from fat: 130  Vitamin B6: 10% Phosphorous:  20%<br />Saturated Fat:: 2g 11% Vitamin C: 0% Potassium: 160mg 5%<br />Total Fat: 15g 22% Vitamin E: 15% Sodium 60mg 2%<br />Cholesterol: 0mg 0% Folate: 8% Thiamin:  10%<br />Total Carbohydrates: 20g 7% Calcium: 25% Zinc:  15%<br />Fiber: 4g 17% Copper: 45% Riboflavin:  6%<br />Sugars: 11g  Iron: 20%<br />Protein: 6g  Magnesium: 25%<br /><br />SEE NUTRITION AT<br /><br />http://www.bumblebar.com/index.asp?PageAction=Custom&ID=11"
5,An excellent hot or cold beverage! This tea was very deliciuos.You can brew it hot with a little sweetener or leave it to chill and serve over ice.It tastes equally good either way and has that nice non-caffeine refreshing effect.
